Species,Site,Date,mean,2.50%,97.50%
Branchinecta_lindahli,VP-1,Time 1,0.03,0,0.14
Branchinecta_lindahli,VP-1,Time 2,0.031,0,0.147
Branchinecta_lindahli,VP-1,Time 3,0.032,0,0.169
Branchinecta_lindahli,VP-2,Time 1,0.031,0,0.157
Branchinecta_lindahli,VP-2,Time 2,0.033,0,0.175
Branchinecta_lindahli,VP-2,Time 3,0.031,0,0.16
Branchinecta_lindahli,VP-3,Time 1,0.03,0,0.157
Branchinecta_lindahli,VP-3,Time 2,0.031,0,0.164
Branchinecta_lindahli,VP-3,Time 3,0.031,0,0.163
Branchinecta_lindahli,VP-4,Time 1,0.029,0,0.154
Branchinecta_lindahli,VP-4,Time 2,0.031,0,0.158
Branchinecta_lindahli,VP-4,Time 3,0.032,0,0.161
Branchinecta_lindahli,VP-5,Time 1,0.03,0,0.166
Branchinecta_lindahli,VP-5,Time 2,0.031,0,0.167
Branchinecta_lindahli,VP-5,Time 3,0.032,0,0.164
Branchinecta_lindahli,VP-6,Time 1,0.031,0,0.167
Branchinecta_lindahli,VP-6,Time 2,0.033,0,0.183
Branchinecta_lindahli,VP-6,Time 3,0.031,0,0.157
Branchinecta_lindahli,VP-7,Time 1,0.029,0,0.151
Branchinecta_lindahli,VP-7,Time 2,0.031,0,0.158
Branchinecta_lindahli,VP-7,Time 3,0.031,0,0.176
Branchinecta_lindahli,VP-8,Time 1,0.029,0,0.155
Branchinecta_lindahli,VP-8,Time 2,NA,NA,NA
Branchinecta_lindahli,VP-8,Time 3,0.032,0,0.183
Branchinecta_lindahli,VP-9,Time 1,NA,NA,NA
Branchinecta_lindahli,VP-9,Time 2,NA,NA,NA
Branchinecta_lindahli,VP-9,Time 3,0.935,0.621,0.999
Branchinecta_lindahli,VP-10,Time 1,0.033,0,0.179
Branchinecta_lindahli,VP-10,Time 2,0.031,0,0.17
Branchinecta_lindahli,VP-10,Time 3,0.031,0,0.162