Branchinecta,Branchinecta_lindahli,Branchinecta_sandiegonensis,Pool_time,Pool,Time_point,Pool_location,Volume_filtered,K_pool
0,0,1,T1_VP-1,VP-1,T1,Center,300,3
1,1,1,T1_VP-1,VP-1,T1,Edge,450,3
0,0,1,T1_VP-1,VP-1,T1,Middle,400,3
0,0,0,T2_VP-1,VP-1,T2,Center,50,3
0,0,0,T2_VP-1,VP-1,T2,Edge,50,3
0,0,0,T2_VP-1,VP-1,T2,Middle,100,3
0,0,0,T3_VP-1,VP-1,T3,Center,170,3
0,0,1,T3_VP-1,VP-1,T3,Edge,150,3
0,0,1,T3_VP-1,VP-1,T3,Middle,125,3
1,0,1,T1_VP-2,VP-2,T1,Center,325,3
1,0,1,T1_VP-2,VP-2,T1,Edge,250,3
1,0,1,T1_VP-2,VP-2,T1,Middle,300,3
0,0,0,T2_VP-2,VP-2,T2,Center,50,3
0,0,1,T2_VP-2,VP-2,T2,Edge,50,3
0,0,1,T2_VP-2,VP-2,T2,Middle,100,3
0,0,1,T3_VP-2,VP-2,T3,Center,100,3
0,0,1,T3_VP-2,VP-2,T3,Edge,125,3
0,0,1,T3_VP-2,VP-2,T3,Middle,105,3
0,0,1,T1_VP-3,VP-3,T1,Center,400,3
1,0,1,T1_VP-3,VP-3,T1,Edge,400,3
1,0,1,T1_VP-3,VP-3,T1,Middle,300,3
0,0,1,T2_VP-3,VP-3,T2,Center,300,3
1,0,1,T2_VP-3,VP-3,T2,Edge,300,3
0,0,1,T2_VP-3,VP-3,T2,Middle,300,3
0,0,1,T3_VP-3,VP-3,T3,Center,140,3
1,0,1,T3_VP-3,VP-3,T3,Edge,160,3
1,0,1,T3_VP-3,VP-3,T3,Middle,160,3
1,0,1,T1_VP-4,VP-4,T1,Center,400,3
1,0,1,T1_VP-4,VP-4,T1,Edge,325,3
1,0,1,T1_VP-4,VP-4,T1,Middle,300,3
0,0,1,T2_VP-4,VP-4,T2,Center,180,3
0,0,1,T2_VP-4,VP-4,T2,Edge,180,3
0,0,1,T2_VP-4,VP-4,T2,Middle,180,3
0,0,1,T3_VP-4,VP-4,T3,Center,65,3
0,0,1,T3_VP-4,VP-4,T3,Edge,115,3
0,0,0,T3_VP-4,VP-4,T3,Middle,70,3
1,0,1,T1_VP-5,VP-5,T1,Center,250,3
1,1,1,T1_VP-5,VP-5,T1,Edge,300,3
1,0,1,T1_VP-5,VP-5,T1,Middle,300,3
0,0,1,T2_VP-5,VP-5,T2,Center,175,3
0,0,1,T2_VP-5,VP-5,T2,Edge,175,3
0,0,1,T2_VP-5,VP-5,T2,Middle,150,3
0,0,1,T3_VP-5,VP-5,T3,Center,230,3
0,0,1,T3_VP-5,VP-5,T3,Edge,200,3
1,0,1,T3_VP-5,VP-5,T3,Middle,230,3
1,0,1,T1_VP-6,VP-6,T1,Center,250,3
1,0,1,T1_VP-6,VP-6,T1,Edge,350,3
1,0,1,T1_VP-6,VP-6,T1,Middle,300,3
0,0,1,T2_VP-6,VP-6,T2,Center,200,3
0,0,1,T2_VP-6,VP-6,T2,Edge,100,3
0,0,1,T2_VP-6,VP-6,T2,Middle,150,3
1,0,1,T3_VP-6,VP-6,T3,Center,205,3
0,0,0,T3_VP-6,VP-6,T3,Edge,225,3
1,0,1,T3_VP-6,VP-6,T3,Middle,225,3
1,0,1,T1_VP-7,VP-7,T1,Center,275,3
1,0,1,T1_VP-7,VP-7,T1,Edge,250,3
1,0,1,T1_VP-7,VP-7,T1,Middle,200,3
0,0,1,T2_VP-7,VP-7,T2,Center,275,3
0,0,1,T2_VP-7,VP-7,T2,Edge,250,3
0,0,1,T2_VP-7,VP-7,T2,Middle,280,3
0,0,0,T3_VP-7,VP-7,T3,Center,250,3
0,0,1,T3_VP-7,VP-7,T3,Edge,305,3
0,0,1,T3_VP-7,VP-7,T3,Middle,260,3
1,0,1,T1_VP-8,VP-8,T1,Middle,200,3
0,0,1,T3_VP-8,VP-8,T3,Middle,50,3
1,0,1,T1_VP-8,VP-8,T1,Middle,300,3
1,0,1,T3_VP-8,VP-8,T3,Middle,60,3
1,0,1,T1_VP-8,VP-8,T1,Middle,275,3
0,0,1,T3_VP-8,VP-8,T3,Middle,50,3
1,1,0,T3_VP-9,VP-9,T3,Middle,150,3
1,0,1,T1_VP-10,VP-10,T1,Center,325,3
0,0,1,T1_VP-10,VP-10,T1,Edge,300,3
1,0,1,T1_VP-10,VP-10,T1,Middle,275,3
1,0,1,T2_VP-10,VP-10,T2,Center,50,3
1,0,1,T2_VP-10,VP-10,T2,Edge,50,3
0,0,1,T2_VP-10,VP-10,T2,Middle,50,3
0,0,1,T3_VP-10,VP-10,T3,Center,150,3
0,0,1,T3_VP-10,VP-10,T3,Edge,140,3
0,0,0,T3_VP-10,VP-10,T3,Middle,125,3